,Mindtree_close_prices,Moving_avg_14,Std_dev_14,Upper_band,Lower_band
0,509.45,,,,
1,511.3,,,,
2,506.35,,,,
3,492.9,,,,
4,497.5,,,,
5,502.35,,,,
6,501.15,,,,
7,509.95,,,,
8,543.9,,,,
9,535.2,,,,
10,530.55,,,,
11,537.4,,,,
12,543.95,,,,
13,537.4,518.5249999999999,18.489162626127374,555.5033252522546,481.5466747477451
14,539.9,520.6999999999999,19.119754182520264,558.9395083650404,482.4604916349594
15,557.45,523.9964285714284,21.23570527605406,566.4678391235365,481.52501801932027
16,546.7,526.8785714285713,21.394065624748517,569.6667026780683,484.0904401790742
17,536.9,530.0214285714284,19.13068130080499,568.2827911730384,491.7600659698184
18,543.5,533.3071428571427,16.94031215250117,567.1877671621451,499.42651855214035
19,538.75,535.9071428571426,14.431014372668999,564.7691716024806,507.0451141118046
20,539.8,538.667857142857,10.405982139409897,559.4798214216768,517.8558928640372
21,531.8,540.2285714285713,6.771254692440226,553.7710808134517,526.6860620436909
22,523.3,538.7571428571428,8.032789944080324,554.8227227453034,522.6915629689821
23,517.85,537.5178571428571,9.773543707039442,557.064944556936,517.9707697287782
24,514.95,536.4035714285714,11.38542361439066,559.1744186573527,513.63272419979
25,515.9,534.867857142857,12.623385001698322,560.1146271462536,509.62108713946037
26,519.75,533.1392857142856,12.937069258105318,559.0134242304963,507.265147198075
27,519.6,531.8678571428571,13.35407755566216,558.5760122541815,505.1597020315328
28,521.0,530.5178571428571,13.434708309548048,557.3872737619532,503.648440523761
29,532.0,528.7,11.013907292426028,550.7278145848521,506.67218541514796
30,526.65,527.2678571428571,9.720984580215724,546.7098263032885,507.8258879824257
31,531.1,526.8535714285715,9.39710397871673,545.647779386005,508.05936347113806
32,528.7,525.7964285714286,8.127031445115149,542.0504914616589,509.5423656811983
33,529.0,525.1,7.308109299843682,539.7162185996874,510.48378140031264
34,529.05,524.3321428571429,6.1115781401073095,536.5552991373576,512.1089865769283
35,534.4,524.5178571428571,6.389161710477952,537.296180563813,511.7395337219012
36,541.8,525.8392857142857,7.8613998208243485,541.5620853559344,510.116486072637
37,544.8,527.7642857142857,8.975274338456156,545.714834391198,509.8137370373734
38,539.15,529.4928571428571,8.64166688743596,546.7761909177291,512.2095233679852
39,529.65,530.475,7.709004475287384,545.8930089505748,515.0569910494253
40,524.7,530.8285714285714,7.28089476447981,545.390360957531,516.2667818996118
41,514.3,530.4499999999999,8.010834010167889,546.4716680203358,514.4283319796641
42,513.75,529.9321428571428,8.858234047458966,547.6486109520607,512.2156747622249
43,514.95,528.7142857142857,9.685485345279638,548.0852564048449,509.3433150237264
44,514.0,527.8107142857142,10.452570139801622,548.7158545653174,506.90557400611095
45,508.4,526.1892857142856,11.60066607125222,549.39061785679,502.98795357178113
46,506.65,524.6142857142856,12.6801848532301,549.9746554207459,499.25391600782547
47,484.3,521.4214285714285,16.53322661846677,554.487881808362,488.35497533449495
48,484.25,518.2214285714284,19.082167614794553,556.3857638010176,480.05709334183933
49,483.55,514.5892857142857,20.54890207221827,555.6870898587222,473.49148156984916
50,481.85,510.3071428571428,20.688289674845436,551.6837222068336,468.93056350745195
51,480.2,505.69285714285706,19.577595683516304,544.8480485098896,466.53766577582445
52,481.8,501.59642857142853,17.972687229897378,537.5418030312233,465.65105411163375
53,479.5,498.0142857142857,16.917974380605806,531.8502344754972,464.17833695307405
54,477.45,494.6392857142857,15.86511871238964,526.369523139065,462.9090482895064
55,472.6,491.6607142857143,15.80434675567447,523.2694077970632,460.05202077436536
56,473.3,488.7714285714286,15.138879064865693,519.04918670116,458.4936704416972
57,465.9,485.26785714285717,14.264932892920555,513.7977229286982,456.7379913570161
58,471.05,482.2,12.058176287672147,506.3163525753443,458.0836474246557
59,483.2,480.40000000000003,9.443740295518138,499.2874805910363,461.5125194089638
60,473.65,478.04285714285714,5.805231630665095,489.65332040418735,466.43239388152693
61,464.35,476.6178571428572,6.551705800862711,489.72126874458263,463.51444554113175
62,451.3,474.2642857142858,9.043557600075935,492.35140091443765,456.17717051413393
63,457.15,472.37857142857143,9.687853502941772,491.754278434455,453.0028644226879
64,467.25,471.3357142857143,9.370482061553131,490.07667840882056,452.594750162608
65,468.0,470.4642857142857,9.044323093506478,488.5529319012987,452.37563952727277
66,475.7,470.0285714285714,8.591827831984272,487.21222709253993,452.8449157646029
67,466.2,469.07857142857137,8.189902654760857,485.4583767380931,452.69876611904965
68,461.4,467.9321428571428,8.050074226670057,484.03229131048295,451.8319944038027
69,453.95,466.5999999999999,8.7324108927576,484.0648217855151,449.1351782144847
70,460.9,465.7142857142856,8.628807488944782,482.97190069217515,448.45667073639606
71,468.2,465.8785714285713,8.654472260620002,483.1875159498113,448.5696269073313
72,478.0,466.3749999999999,9.158576266577715,484.6921525331553,448.05784746684446
73,472.1,465.58214285714274,7.996768749908381,481.5756803569595,449.588605357326
74,462.1,464.7571428571428,7.690325019207513,480.1377928955578,449.3764928187278
75,461.0,464.51785714285705,7.755806934725824,480.0294710123087,449.0062432734054
76,460.85,465.19999999999993,6.873639725565601,478.9472794511311,451.45272054886874
77,454.9,465.03928571428565,7.098948420806353,479.23718255589836,450.84138887267295
78,455.1,464.1714285714285,7.537054982030289,479.2455385354891,449.0973186073679
79,450.6,462.92857142857144,8.257367672513427,479.4433067735983,446.4138360835446
80,445.25,460.75357142857143,8.636182033157795,478.025935494887,443.4812073622559
81,442.85,459.08571428571435,9.693444028971513,478.4726023436574,439.6988262277713
82,446.6,458.0285714285715,10.214652264226448,478.45787595702444,437.5992669001186
