Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
JINDALSTEL,EQ,2019-04-23,176.35,176.5,179.6,173.65,174.7,175.0,176.23,9418675,1659810083.25,57754,1436360,15.25,4,2019,187.23253016032712,-0.007655231074567559,Slight or No change
JINDALSTEL,EQ,2019-04-24,175.0,175.5,176.45,169.1,171.75,172.2,171.83,10479294,1800621431.15,67745,1955074,18.66,4,2019,187.20029175464634,-0.016000000000000014,Slight or No change
JINDALSTEL,EQ,2019-04-25,172.2,172.2,174.55,166.05,167.7,167.2,170.01,9974042,1695645118.3,66134,2172773,21.78,4,2019,187.1595507811002,-0.029036004645760727,Slight or No change
JINDALSTEL,EQ,2019-04-26,167.2,169.4,178.4,168.05,175.3,175.15,174.51,20052673,3499417936.15,119910,2737338,13.65,4,2019,187.11056749274147,0.04754784688995217,Slight or No change
JINDALSTEL,EQ,2019-04-30,175.15,175.5,179.5,168.0,178.15,178.1,174.1,13337202,2322003732.85,81607,1902444,14.26,4,2019,187.0861899892392,0.01684270625178419,Slight or No change
JINDALSTEL,EQ,2019-05-02,178.1,177.5,181.7,175.1,180.5,180.45,178.41,12080585,2155312571.95,74252,1873395,15.51,5,2019,187.0699675490905,0.013194834362717511,Slight or No change
JINDALSTEL,EQ,2019-05-03,180.45,181.0,183.0,177.05,182.55,181.75,179.99,9299659,1673827650.75,55486,1253631,13.48,5,2019,187.0599751696201,0.007204211692989793,Slight or No change
JINDALSTEL,EQ,2019-05-06,181.75,175.0,177.2,172.15,173.25,173.55,174.19,13291591,2315266648.35,83751,2547357,19.17,5,2019,187.0238042032239,-0.0451169188445667,Slight or No change
JINDALSTEL,EQ,2019-05-07,173.55,175.6,176.75,168.0,168.5,169.3,173.38,9914774,1719053647.45,74212,2525841,25.48,5,2019,186.98847760105386,-0.024488619994238014,Slight or No change
JINDALSTEL,EQ,2019-05-08,169.3,166.9,171.7,165.75,170.15,170.15,169.25,11040004,1868558279.8,65834,1420538,12.87,5,2019,186.9511894058735,0.005020673360897732,Slight or No change
JINDALSTEL,EQ,2019-05-09,170.15,169.0,170.65,161.2,162.75,163.05,165.31,14432086,2385769725.0,78475,1401008,9.71,5,2019,186.88219839274527,-0.0417278871583896,Slight or No change
JINDALSTEL,EQ,2019-05-10,163.05,165.1,167.0,161.1,161.7,163.25,164.4,11984102,1970198505.3,65573,788324,6.58,5,2019,186.82568988900857,0.0012266176019624098,Slight or No change
JINDALSTEL,EQ,2019-05-13,163.25,162.75,162.75,152.0,152.7,154.35,158.22,8109777,1283123761.5,48721,856981,10.57,5,2019,186.77322493351588,-0.0545176110260337,Slight or No change
